NAME_health,high_school_completion_25plus,bachelor's_degree_or_higher_25plus,unemployment_rate,broadband_internet_subscription,uninsured_population,total_civilian_noninstitutionalized_population,population_with_a_disability,total_population_disability_universe,state,county,tract,median_household_income_health,population_below_poverty,total_population_poverty_universe,owner-occupied_housing_units_health,renter-occupied_housing_units_health,median_home_value_health,median_gross_rent_health,vacant_housing_units,total_housing_units,public_transportation_to_work,total_workers_transportation_universe,total_population,median_age,children_in_married-couple_families,children_in_single-parent_families,total_children,total_population_5plus_language_universe,speak_only_english,foreign-born_population,"white_alone,_not_hispanic",black_or_african_american_alone,hispanic_or_latino,asian_alone,male_under_5_years,female_under_5_years,male_65_years_and_over,female_65_years_and_over,poverty_rate,vacancy_rate,public_transit_rate,uninsured_rate,disability_rate,single_parent_rate,foreign_born_rate,home_ownership_rate,NAME_econ,median_household_income_econ,per_capita_income,population_below_poverty_level,total_population_for_poverty_status,civilian_labor_force,unemployed,employed,bachelor's_degree,master's_degree,professional_degree,doctorate_degree,total_population_25+,median_home_value_econ,median_gross_rent_econ,owner-occupied_housing_units_econ,renter-occupied_housing_units_econ,renters_cost_burden_30_35_pct,renters_cost_burden_35_40_pct,renters_cost_burden_40_50_pct,renters_cost_burden_50plus_pct,total_renter_households_cost,owners_cost_burden_30_35_pct,owners_cost_burden_35_40_pct,owners_cost_burden_40_50_pct,owners_cost_burden_50plus_pct,total_owner_households_cost,gini_index,households_receiving_snap,total_households_snap_universe,households_with_public_assistance,total_households_assistance_universe,median_earnings_workers,not_in_labor_force,total_workers_commute,commute_60_plus_minutes,commute_90_plus_minutes,NAME_additional,renter_cost_burden_rate,owner_cost_burden_rate,housing_cost_burden_rate,snap_participation_rate,public_assistance_rate,long_commute_rate
Census Tract 901; Baltimore city; Maryland,93.4,26.3,8.1,66.0,97.3,3770,620,3770,24,510,90100,59701,654,3770,886,753,149100,1107,311,1950,279,1889,3770,39.1,171,127,815,3639,692,133,383,3184,55,20,37,94,21,87,17.35,15.95,14.77,2.58,16.45,15.58,3.53,54.06,Census Tract 901; Baltimore city; Maryland,59701.0,30231.0,654,3770,2116,172,1944,329,305,11,31,2575,149100,1107,886,753,72,72,47,206,753,77,0,18,70,886,0.3982,536,1639,541,1639,37423.0,0,1655,126,53,Census Tract 901; Baltimore city; Maryland,52.72244355909695,18.623024830699777,34.28920073215375,32.70286760219646,33.007931665649785,7.613293051359517
Census Tract 902; Baltimore city; Maryland,94.0,49.5,6.6,79.4,97.4,3384,446,3384,24,510,90200,91083,496,3352,1206,132,240600,1383,54,1392,93,1509,3443,42.7,523,41,610,3264,516,58,801,2171,150,0,75,104,215,110,14.8,3.88,6.16,2.88,13.18,6.72,1.68,90.13,Census Tract 902; Baltimore city; Maryland,91083.0,43105.0,496,3352,1616,107,1509,702,497,51,61,2647,240600,1383,1206,132,39,29,0,16,132,50,21,21,117,1206,0.3826,172,1338,172,1338,52542.0,0,1139,25,43,Census Tract 902; Baltimore city; Maryland,63.63636363636363,17.330016583747927,21.898355754858,12.855007473841551,12.855007473841551,2.194907813871817
Census Tract 903; Baltimore city; Maryland,83.0,36.4,7.8,67.7,96.8,4940,938,4940,24,510,90300,63371,1643,4955,951,1124,174300,1024,195,2270,347,2098,4955,36.7,195,0,951,4636,984,111,752,4029,57,79,286,33,54,7,33.16,8.59,16.54,1.96,18.99,0.0,2.24,45.83,Census Tract 903; Baltimore city; Maryland,63371.0,29457.0,1643,4955,2285,179,2106,494,537,143,76,3432,174300,1024,951,1124,137,110,7,287,1124,6,82,55,66,951,0.4329,446,2075,486,2075,49075.0,15,1565,88,96,Census Tract 903; Baltimore city; Maryland,48.13167259786477,21.976866456361723,36.14457831325301,21.49397590361445,23.42168674698795,5.623003194888179
Census Tract 904; Baltimore city; Maryland,78.2,10.1,5.5,44.2,87.0,1147,364,1147,24,510,90400,36680,317,1099,151,466,120800,1086,190,807,67,503,1147,44.3,8,0,52,1081,72,5,151,854,86,0,48,18,52,7,28.84,23.54,13.32,7.59,31.73,0.0,0.44,24.47,Census Tract 904; Baltimore city; Maryland,36680.0,27951.0,317,1099,545,30,515,34,64,0,0,974,120800,1086,151,466,45,41,74,148,466,0,4,0,46,151,0.4565,239,617,239,617,42083.0,0,478,20,0,Census Tract 904; Baltimore city; Maryland,66.09442060085837,33.11258278145696,58.0226904376013,38.73581847649919,38.73581847649919,4.184100418410042
Census Tract 905; Baltimore city; Maryland,91.1,28.9,11.4,70.7,89.6,1426,298,1426,24,510,90500,55500,321,1426,303,267,163000,1556,174,744,111,679,1426,36.9,109,5,175,1375,189,73,246,993,0,35,32,19,15,34,22.51,23.39,16.35,6.28,20.9,2.86,5.12,53.16,Census Tract 905; Baltimore city; Maryland,55500.0,27124.0,321,1426,780,89,691,168,148,5,11,1147,163000,1556,303,267,18,33,31,89,267,12,0,12,33,303,0.4071,123,570,130,570,37311.0,0,570,31,15,Census Tract 905; Baltimore city; Maryland,64.04494382022472,18.81188118811881,40.0,21.57894736842105,22.807017543859647,5.43859649122807
Census Tract 906; Baltimore city; Maryland,89.3,13.1,19.8,40.8,93.6,2685,426,2685,24,510,90600,58897,518,2685,371,462,143400,1598,364,1197,228,932,2696,29.5,142,20,542,2433,598,10,43,2574,10,1,115,148,0,22,19.29,30.41,24.46,3.49,15.87,3.69,0.37,44.54,Census Tract 906; Baltimore city; Maryland,58897.0,24114.0,518,2685,1244,246,998,93,111,0,0,1552,143400,1598,371,462,0,70,2,142,462,0,17,8,25,371,0.455,313,833,326,833,40050.0,0,771,129,25,Census Tract 906; Baltimore city; Maryland,46.32034632034632,13.477088948787062,31.692677070828328,37.5750300120048,39.13565426170468,16.731517509727624
Census Tract 907; Baltimore city; Maryland,82.1,10.2,22.6,42.1,90.6,2849,559,2849,24,510,90700,36859,1067,2849,530,430,78700,1439,474,1434,175,957,2849,33.4,218,0,614,2454,287,52,11,2769,0,0,348,47,8,13,37.45,33.05,18.29,3.18,19.62,0.0,1.83,55.21,Census Tract 907; Baltimore city; Maryland,36859.0,19002.0,1067,2849,1236,279,957,147,17,0,0,1607,78700,1439,530,430,17,52,27,130,430,0,12,68,14,530,0.444,450,960,450,960,22231.0,0,765,14,16,Census Tract 907; Baltimore city; Maryland,52.55813953488372,17.735849056603772,33.33333333333333,46.875,46.875,1.8300653594771243
Census Tract 908; Baltimore city; Maryland,69.9,8.3,13.9,48.9,88.9,1944,413,1944,24,510,90800,29574,647,1944,389,466,58500,1374,415,1270,179,640,1944,50.3,36,51,221,1872,202,128,31,1821,0,40,21,51,20,31,33.28,32.68,27.97,4.57,21.24,23.08,6.58,45.5,Census Tract 908; Baltimore city; Maryland,29574.0,19188.0,647,1944,764,106,658,12,52,0,53,1403,58500,1374,389,466,150,0,0,171,466,22,0,0,77,389,0.4804,452,855,466,855,29449.0,0,640,105,16,Census Tract 908; Baltimore city; Maryland,68.88412017167383,25.44987146529564,49.122807017543856,52.8654970760234,54.50292397660819,16.40625
Census Tract 909; Baltimore city; Maryland,82.6,9.9,8.3,49.0,97.8,2166,591,2166,24,510,90900,34362,583,2190,220,674,119400,1032,507,1401,84,686,2190,29.4,144,0,567,1986,585,9,38,2152,0,0,79,125,34,11,26.62,36.19,12.24,4.52,27.29,0.0,0.41,24.61,Census Tract 909; Baltimore city; Maryland,34362.0,22231.0,583,2190,769,64,705,110,17,0,0,1288,119400,1032,220,674,17,51,50,285,674,11,9,0,7,220,0.5459,549,894,549,894,39559.0,24,670,21,9,Census Tract 909; Baltimore city; Maryland,59.79228486646885,12.272727272727272,48.09843400447427,61.40939597315436,61.40939597315436,3.134328358208955
Census Tract 1001; Baltimore city; Maryland,76.7,10.8,18.2,40.1,98.0,1536,579,1536,24,510,100100,30769,431,1536,324,494,103900,426,205,1023,80,489,1541,49.3,0,0,41,1501,69,9,48,1433,51,9,16,24,43,68,28.06,20.04,16.36,6.38,37.7,0.0,0.58,39.61,Census Tract 1001; Baltimore city; Maryland,30769.0,22087.0,431,1536,616,112,504,125,17,0,0,1312,103900,426,324,494,43,66,18,111,494,57,7,8,38,324,0.4937,444,818,454,818,36250.0,0,486,53,65,Census Tract 1001; Baltimore city; Maryland,48.17813765182186,33.95061728395062,42.54278728606357,54.27872860635696,55.501222493887525,10.905349794238685
Census Tract 1002; Baltimore city; Maryland,74.4,4.0,7.1,49.0,89.9,2307,545,2307,24,510,100200,22529,1215,2307,97,951,118400,411,124,1172,274,567,2715,39.4,128,34,749,2519,553,209,68,2590,20,0,110,86,13,41,52.67,10.58,48.32,3.9,23.62,4.54,7.7,9.26,Census Tract 1002; Baltimore city; Maryland,22529.0,14050.0,1215,2307,630,45,585,31,7,0,34,1802,118400,411,97,951,10,15,38,369,951,0,23,0,0,97,0.4955,748,1048,748,1048,22897.0,0,567,26,73,Census Tract 1002; Baltimore city; Maryland,45.42586750788644,23.711340206185564,43.41603053435114,71.37404580152672,71.37404580152672,4.585537918871252
Census Tract 1003; Baltimore city; Maryland,60.6,0.3,,-666666666.0,-666666666.0,0,0,0,24,510,100300,-666666666,0,0,0,0,-666666666,-666666666,0,0,0,0,1999,31.0,0,0,0,1999,0,42,277,1476,112,46,0,0,9,0,,,,-inf,,,2.1,,Census Tract 1003; Baltimore city; Maryland,,,0,0,0,0,0,5,0,0,0,1555,-666666666,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,Census Tract 1003; Baltimore city; Maryland,,,,,,
Census Tract 1101; Baltimore city; Maryland,98.2,75.5,3.9,70.4,93.1,2737,262,2737,24,510,110100,61103,413,2757,285,1639,159900,1524,308,2232,464,2034,2757,30.7,24,0,41,2718,0,418,1770,618,98,90,20,19,0,0,14.98,13.8,22.81,3.4,9.57,0.0,15.16,14.81,Census Tract 1101; Baltimore city; Maryland,61103.0,53160.0,413,2757,2172,85,2087,826,597,86,193,2254,159900,1524,285,1639,103,104,235,366,1639,0,0,0,54,285,0.4428,67,1924,155,1924,53047.0,20,1727,173,85,Census Tract 1101; Baltimore city; Maryland,49.29835265405736,18.94736842105264,44.8024948024948,3.4823284823284824,8.056133056133056,10.01737116386798
Census Tract 1102; Baltimore city; Maryland,93.7,66.1,2.7,67.0,97.6,6132,1016,6132,24,510,110200,70919,1190,5974,618,3495,302200,1262,449,4562,683,4121,6135,36.4,371,42,413,6001,221,399,2832,1726,365,454,38,96,67,153,19.92,9.84,16.57,1.59,16.57,10.17,6.5,15.03,Census Tract 1102; Baltimore city; Maryland,70919.0,55859.0,1190,5974,4237,116,4121,1491,1044,550,323,5159,302200,1262,618,3495,331,29,38,751,3495,75,0,0,0,618,0.4733,416,4113,440,4113,69405.0,0,3358,78,220,Census Tract 1102; Baltimore city; Maryland,32.8755364806867,12.135922330097088,29.75929978118162,10.11427182105519,10.697787503039144,2.322811197141156
Census Tract 1201; Baltimore city; Maryland,100.0,83.4,4.3,75.9,99.0,4291,488,4291,24,510,120100,94236,423,4312,1200,1242,466700,1405,273,2715,127,2846,4312,53.0,381,0,425,4132,191,691,2301,634,430,722,72,108,126,59,9.81,10.06,4.46,2.31,11.37,0.0,16.03,49.14,Census Tract 1201; Baltimore city; Maryland,94236.0,93432.0,423,4312,2972,129,2843,825,1102,507,544,3572,466700,1405,1200,1242,52,75,79,262,1242,71,17,16,36,1200,0.5146,47,2442,61,2442,69085.0,21,1995,108,63,Census Tract 1201; Baltimore city; Maryland,37.68115942028986,11.666666666666666,24.897624897624897,1.9246519246519247,2.4979524979524976,5.413533834586466
Census Tract 1202.01; Baltimore city; Maryland,98.3,83.3,2.6,83.9,97.1,1954,127,1954,24,510,120201,102083,237,1951,451,424,335000,1679,71,946,117,1184,1962,33.8,215,12,282,1874,220,99,1313,251,186,83,43,45,12,8,12.15,7.51,9.88,4.97,6.5,4.26,5.05,51.54,Census Tract 1202.01; Baltimore city; Maryland,102083.0,61883.0,237,1951,1227,32,1195,420,326,124,208,1294,335000,1679,451,424,30,7,36,112,424,17,20,6,10,451,0.481,57,875,65,875,51765.0,8,837,24,17,Census Tract 1202.01; Baltimore city; Maryland,43.63207547169811,11.751662971175168,27.200000000000003,6.514285714285714,7.428571428571429,2.867383512544803
Census Tract 1202.02; Baltimore city; Maryland,99.2,86.0,12.2,78.0,93.9,4889,227,4889,24,510,120202,28352,909,2378,365,1227,278600,1215,281,1873,206,1941,4908,21.0,0,0,0,4908,24,658,2149,463,561,1380,0,0,29,13,38.23,15.0,10.61,1.92,4.64,,13.41,22.93,Census Tract 1202.02; Baltimore city; Maryland,28352.0,17617.0,909,2378,2247,275,1972,615,576,110,184,1727,278600,1215,365,1227,51,41,174,507,1227,9,0,0,50,365,0.5597,19,1592,19,1592,6966.0,19,1605,19,77,Census Tract 1202.02; Baltimore city; Maryland,62.999185004074974,16.164383561643834,52.26130653266332,1.193467336683417,1.193467336683417,1.1838006230529596
Census Tract 1203; Baltimore city; Maryland,88.8,54.9,5.4,71.3,95.3,3954,559,3954,24,510,120300,70776,844,3954,696,846,273400,1151,173,1715,370,2160,3954,33.1,299,100,542,3633,444,136,1536,1854,229,54,237,84,22,9,21.35,10.09,17.13,2.41,14.14,18.45,3.44,45.14,Census Tract 1203; Baltimore city; Maryland,70776.0,38047.0,844,3954,2356,128,2228,779,535,87,187,2891,273400,1151,696,846,88,82,15,183,846,31,14,39,17,696,0.4527,325,1542,339,1542,50039.0,0,1942,168,193,Census Tract 1203; Baltimore city; Maryland,43.49881796690308,14.511494252873565,30.41504539559014,21.07652399481193,21.98443579766537,8.650875386199793
Census Tract 1204; Baltimore city; Maryland,93.1,45.6,6.4,75.7,91.0,1584,213,1584,24,510,120400,51700,405,1590,285,479,327200,1099,174,938,176,872,1590,35.1,34,42,291,1514,276,12,471,1047,25,12,68,8,0,9,25.47,18.55,20.18,5.74,13.45,14.43,0.75,37.3,Census Tract 1204; Baltimore city; Maryland,51700.0,37937.0,405,1590,925,59,866,251,178,85,28,1189,327200,1099,285,479,34,32,58,170,479,17,0,0,33,285,0.4926,160,764,171,764,65813.0,6,699,129,61,Census Tract 1204; Baltimore city; Maryland,61.37787056367432,17.543859649122805,45.0261780104712,20.94240837696335,22.38219895287958,18.4549356223176
Census Tract 1205; Baltimore city; Maryland,91.4,55.7,4.2,78.1,98.7,2237,312,2237,24,510,120500,56776,384,2216,465,765,334400,1354,211,1441,230,1486,2266,32.9,115,4,203,2121,170,96,766,1181,54,148,43,102,8,0,17.33,14.64,15.48,4.41,13.95,1.97,4.24,37.8,Census Tract 1205; Baltimore city; Maryland,56776.0,47762.0,384,2216,1561,66,1495,451,353,140,70,1819,334400,1354,465,765,73,108,71,159,765,0,6,58,21,465,0.4804,244,1230,255,1230,55534.0,0,897,78,68,Census Tract 1205; Baltimore city; Maryland,53.72549019607843,18.27956989247312,40.32520325203252,19.83739837398374,20.73170731707317,8.695652173913043
Census Tract 1206; Baltimore city; Maryland,87.1,49.1,11.4,65.6,92.6,2593,660,2593,24,510,120600,30887,704,2593,243,1357,299400,947,285,1885,417,1294,2805,36.0,221,42,263,2673,55,83,1195,1203,156,107,84,48,12,19,27.15,15.12,32.23,3.57,25.45,15.97,2.96,15.19,Census Tract 1206; Baltimore city; Maryland,30887.0,29606.0,704,2593,1559,178,1381,687,364,4,81,2314,299400,947,243,1357,92,44,80,439,1357,16,0,0,55,243,0.5112,589,1600,607,1600,37846.0,0,1140,15,100,Census Tract 1206; Baltimore city; Maryland,48.26823876197495,29.21810699588477,45.375,36.8125,37.9375,1.3157894736842104
Census Tract 1207; Baltimore city; Maryland,94.2,60.1,8.2,69.7,92.3,1966,243,1966,24,510,120700,68929,266,1966,492,514,228900,1580,133,1139,154,1175,1966,31.7,172,20,233,1925,61,132,1321,119,258,227,16,25,26,14,13.53,11.68,13.11,4.69,12.36,8.58,6.71,48.91,Census Tract 1207; Baltimore city; Maryland,68929.0,43922.0,266,1966,1356,111,1245,513,391,58,20,1635,228900,1580,492,514,45,87,29,79,514,39,0,9,16,492,0.3734,86,1006,98,1006,52523.0,0,906,74,20,Census Tract 1207; Baltimore city; Maryland,46.69260700389105,13.008130081300814,30.21868787276341,8.548707753479125,9.74155069582505,8.167770419426049
Census Tract 1301; Baltimore city; Maryland,84.9,24.4,6.6,47.1,90.7,3040,691,3040,24,510,130100,30048,868,3040,271,1461,358900,1073,171,1903,467,1458,3044,38.6,266,0,350,2919,293,84,226,2642,19,0,114,11,16,91,28.55,8.99,32.03,2.98,22.73,0.0,2.76,15.65,Census Tract 1301; Baltimore city; Maryland,30048.0,29397.0,868,3040,1561,103,1458,297,232,23,22,2350,358900,1073,271,1461,91,17,144,625,1461,0,0,0,14,271,0.5655,462,1732,462,1732,41773.0,0,1395,356,161,Census Tract 1301; Baltimore city; Maryland,60.02737850787132,5.166051660516605,51.443418013856814,26.674364896073904,26.674364896073904,25.519713261648747
Census Tract 1302; Baltimore city; Maryland,91.6,36.4,8.3,74.2,94.7,2390,330,2390,24,510,130200,66795,183,2390,534,667,339800,1130,227,1428,214,1362,2396,45.2,71,40,209,2274,126,42,631,1690,0,6,0,122,27,32,7.66,15.9,15.71,3.96,13.81,19.14,1.75,44.46,Census Tract 1302; Baltimore city; Maryland,66795.0,48916.0,183,2390,1516,126,1390,311,294,10,80,1907,339800,1130,534,667,11,11,201,100,667,30,0,27,64,534,0.4615,208,1201,208,1201,54620.0,0,1195,121,82,Census Tract 1302; Baltimore city; Maryland,48.425787106446776,22.659176029962545,36.969192339716905,17.318900915903416,17.318900915903416,10.125523012552302
Census Tract 1303; Baltimore city; Maryland,82.3,18.8,1.7,55.4,91.2,1844,395,1844,24,510,130300,49063,360,1844,292,563,148100,1270,407,1262,265,911,1844,38.4,177,0,387,1782,325,9,127,1600,13,21,0,62,0,31,19.52,32.25,29.09,4.95,21.42,0.0,0.49,34.15,Census Tract 1303; Baltimore city; Maryland,49063.0,28234.0,360,1844,927,16,911,136,71,19,10,1255,148100,1270,292,563,41,56,0,199,563,23,18,0,39,292,0.4389,339,855,339,855,30335.0,0,789,43,82,Census Tract 1303; Baltimore city; Maryland,52.57548845470693,27.3972602739726,43.9766081871345,39.64912280701755,39.64912280701755,5.4499366286438535
Census Tract 1304; Baltimore city; Maryland,86.0,12.8,6.8,38.7,94.7,2081,566,2081,24,510,130400,45192,530,2088,256,462,112700,1115,374,1092,226,742,2092,39.0,10,0,181,2047,519,4,75,1943,59,7,10,35,8,22,25.38,34.25,30.46,4.55,27.2,0.0,0.19,35.65,Census Tract 1304; Baltimore city; Maryland,45192.0,22522.0,530,2088,789,54,735,112,57,0,8,1380,112700,1115,256,462,25,61,26,154,462,0,0,26,4,256,0.4596,135,718,154,718,40439.0,7,705,107,19,Census Tract 1304; Baltimore city; Maryland,57.57575757575758,11.71875,41.22562674094708,18.802228412256262,21.448467966573816,15.177304964539006
Census Tract 1306; Baltimore city; Maryland,97.2,72.2,1.3,88.9,99.2,3774,264,3774,24,510,130600,101333,234,3748,1104,738,279800,2071,167,2009,114,2716,3774,34.4,335,22,357,3519,132,177,3290,30,127,188,104,151,18,0,6.24,8.31,4.2,2.63,7.0,6.16,4.69,59.93,Census Tract 1306; Baltimore city; Maryland,101333.0,60539.0,234,3748,2760,35,2725,1177,650,349,160,3234,279800,2071,1104,738,75,54,58,91,738,11,7,45,16,1104,0.384,33,1842,62,1842,67500.0,0,2193,182,58,Census Tract 1306; Baltimore city; Maryland,37.669376693766935,7.155797101449275,19.38110749185668,1.7915309446254073,3.3659066232356136,8.299133606931145
Census Tract 1307; Baltimore city; Maryland,91.3,67.5,4.3,81.3,96.6,4603,793,4603,24,510,130700,83789,500,4614,1270,1365,300300,1487,225,2860,167,2738,4715,39.2,309,38,427,4443,155,320,3516,449,293,252,183,89,56,35,10.84,7.87,6.1,2.1,17.23,8.9,6.79,48.2,Census Tract 1307; Baltimore city; Maryland,83789.0,56543.0,500,4614,2863,124,2739,1008,1044,323,412,4129,300300,1487,1270,1365,154,85,54,282,1365,69,13,21,75,1270,0.4004,101,2635,112,2635,66974.0,11,2172,49,20,Census Tract 1307; Baltimore city; Maryland,42.12454212454213,14.015748031496065,28.57685009487666,3.8330170777988615,4.250474383301707,2.255985267034991
Census Tract 1308.03; Baltimore city; Maryland,91.0,46.5,0.7,66.2,96.0,2352,201,2352,24,510,130803,76841,156,2352,689,602,230800,1350,54,1345,110,1619,2352,37.4,289,15,317,2233,28,220,1422,98,223,380,51,68,32,28,6.63,4.01,6.79,4.08,8.55,4.73,9.35,53.37,Census Tract 1308.03; Baltimore city; Maryland,76841.0,46136.0,156,2352,1631,12,1619,508,184,77,91,1850,230800,1350,689,602,52,65,0,164,602,16,45,36,50,689,0.357,43,1291,48,1291,46113.0,0,1412,90,0,Census Tract 1308.03; Baltimore city; Maryland,46.67774086378738,21.335268505079828,33.15259488768397,3.3307513555383426,3.718048024786986,6.373937677053824
Census Tract 1308.04; Baltimore city; Maryland,93.7,60.2,3.4,81.8,95.2,1530,159,1530,24,510,130804,70026,172,1530,479,412,251700,1606,56,947,70,1076,1530,37.7,48,0,107,1508,96,59,1213,142,56,64,11,11,15,10,11.24,5.91,6.51,6.22,10.39,0.0,3.86,53.76,Census Tract 1308.04; Baltimore city; Maryland,70026.0,55290.0,172,1530,1114,38,1076,352,304,78,92,1371,251700,1606,479,412,12,12,59,63,412,10,6,5,27,479,0.4657,96,891,103,891,54960.0,0,936,67,19,Census Tract 1308.04; Baltimore city; Maryland,35.43689320388349,10.020876826722338,21.773288439955103,10.774410774410772,11.560044893378226,7.158119658119658
Census Tract 1308.05; Baltimore city; Maryland,91.3,39.1,13.9,71.4,95.1,1099,264,1099,24,510,130805,61983,156,1099,356,238,171400,725,40,634,71,461,1099,58.0,43,0,91,1080,80,16,162,740,76,23,6,13,32,31,14.19,6.31,15.4,8.65,24.02,0.0,1.46,59.93,Census Tract 1308.05; Baltimore city; Maryland,61983.0,47459.0,156,1099,553,77,476,153,159,40,25,963,171400,725,356,238,46,0,4,81,238,5,50,14,22,356,0.5057,119,594,125,594,62159.0,0,384,0,51,Census Tract 1308.05; Baltimore city; Maryland,55.04201680672269,25.56179775280899,37.37373737373738,20.033670033670035,21.043771043771045,0.0
Census Tract 1308.06; Baltimore city; Maryland,87.1,58.1,6.0,83.1,92.1,1546,199,1546,24,510,130806,106118,185,1546,485,221,236100,1756,61,767,112,998,1726,43.6,159,9,202,1679,147,31,1328,212,53,53,18,29,0,21,11.97,7.95,11.22,5.96,12.87,4.46,1.8,68.7,Census Tract 1308.06; Baltimore city; Maryland,106118.0,52804.0,185,1546,1073,64,1009,457,221,89,71,1442,236100,1756,485,221,0,12,0,70,221,16,6,19,13,485,0.4475,80,706,87,706,58476.0,0,784,59,22,Census Tract 1308.06; Baltimore city; Maryland,37.10407239819005,11.134020618556702,19.263456090651555,11.3314447592068,12.322946175637393,7.525510204081633
Census Tract 1401; Baltimore city; Maryland,86.2,56.8,8.3,55.3,97.1,3853,604,3853,24,510,140100,63601,462,3196,599,1411,479300,1116,330,2340,119,1926,3853,47.6,162,0,162,3780,103,209,2132,1113,51,331,25,48,0,62,14.46,14.1,6.18,2.52,15.68,0.0,5.42,29.8,Census Tract 1401; Baltimore city; Maryland,63601.0,59580.0,462,3196,2138,177,1961,762,471,263,122,2849,479300,1116,599,1411,99,131,47,208,1411,22,17,0,24,599,0.5729,270,2010,293,2010,57655.0,0,1562,147,135,Census Tract 1401; Baltimore city; Maryland,34.37278525868179,10.51752921535893,27.2636815920398,13.432835820895525,14.577114427860696,9.41101152368758
Census Tract 1402; Baltimore city; Maryland,90.5,15.2,41.3,65.2,89.1,2803,226,2803,24,510,140200,38384,1408,2803,399,700,333100,976,525,1624,302,608,2803,30.2,13,0,642,2567,550,108,224,2358,64,54,97,139,9,0,50.23,32.33,49.67,3.18,8.06,0.0,3.85,36.31,Census Tract 1402; Baltimore city; Maryland,38384.0,17446.0,1408,2803,1035,427,608,175,85,0,0,1710,333100,976,399,700,31,20,91,206,700,0,0,256,15,399,0.4403,386,1099,406,1099,34820.0,0,596,18,13,Census Tract 1402; Baltimore city; Maryland,49.71428571428572,67.91979949874687,56.32393084622384,35.122838944494994,36.94267515923567,3.02013422818792
Census Tract 1403; Baltimore city; Maryland,84.8,22.0,10.5,39.6,95.0,1531,408,1531,24,510,140300,45086,227,1516,280,598,-666666666,1106,501,1379,88,694,1531,46.6,104,0,104,1469,101,52,173,1352,0,0,15,47,35,16,14.97,36.33,12.68,6.21,26.65,0.0,3.4,31.89,Census Tract 1403; Baltimore city; Maryland,45086.0,34537.0,227,1516,789,83,706,138,142,0,0,1274,-666666666,1106,280,598,138,6,69,145,598,62,0,10,0,280,0.437,183,878,195,878,40331.0,0,635,53,0,Census Tract 1403; Baltimore city; Maryland,59.86622073578596,25.71428571428571,48.9749430523918,20.842824601366743,22.20956719817768,8.346456692913385
Census Tract 1501; Baltimore city; Maryland,76.2,8.6,15.0,35.1,96.4,2199,570,2199,24,510,150100,29423,912,2199,508,536,99300,533,381,1425,224,715,2199,41.4,9,55,332,2072,334,0,113,2047,0,0,62,65,20,64,41.47,26.74,31.33,4.38,25.92,16.57,0.0,48.66,Census Tract 1501; Baltimore city; Maryland,29423.0,22765.0,912,2199,849,127,722,94,38,0,0,1532,99300,533,508,536,35,14,0,135,536,0,0,102,55,508,0.4987,392,1044,392,1044,37710.0,0,687,24,69,Census Tract 1501; Baltimore city; Maryland,34.32835820895522,30.905511811023626,32.662835249042146,37.547892720306514,37.547892720306514,3.4934497816593884
Census Tract 1502; Baltimore city; Maryland,60.5,1.6,16.2,32.6,89.3,2393,580,2393,24,510,150200,46120,645,2353,410,465,90900,-666666666,640,1515,256,631,2393,42.6,203,0,299,2342,359,0,0,2376,8,0,37,14,0,9,27.41,42.24,40.57,3.73,24.24,0.0,0.0,46.86,Census Tract 1502; Baltimore city; Maryland,46120.0,26061.0,645,2353,753,122,631,21,8,0,0,1792,90900,-666666666,410,465,27,22,38,68,465,33,7,6,33,410,0.5212,535,875,557,875,46005.0,0,618,0,48,Census Tract 1502; Baltimore city; Maryland,33.33333333333333,19.26829268292683,26.74285714285714,61.142857142857146,63.65714285714286,0.0
Census Tract 1503; Baltimore city; Maryland,86.1,7.1,24.4,62.9,87.6,1284,526,1284,24,510,150300,20046,692,1284,346,163,64200,1549,443,952,193,438,1284,38.8,13,0,171,1270,223,53,22,1261,0,0,0,14,0,11,53.89,46.53,44.06,6.82,40.97,0.0,4.13,67.98,Census Tract 1503; Baltimore city; Maryland,20046.0,14313.0,692,1284,579,141,438,58,7,0,0,914,64200,1549,346,163,0,11,22,97,163,0,11,31,32,346,0.5127,278,509,278,509,17963.0,0,438,10,0,Census Tract 1503; Baltimore city; Maryland,79.75460122699386,21.38728323699422,40.07858546168959,54.616895874263264,54.616895874263264,2.28310502283105
Census Tract 1504; Baltimore city; Maryland,84.2,13.5,14.6,39.1,93.2,3529,767,3529,24,510,150400,42266,499,3010,530,881,77900,957,500,1911,480,1443,3529,35.9,138,50,344,3477,379,118,117,3279,44,23,0,52,37,32,16.58,26.16,33.26,2.64,21.73,14.53,3.34,37.56,Census Tract 1504; Baltimore city; Maryland,42266.0,24232.0,499,3010,1708,250,1458,270,56,0,0,2410,77900,957,530,881,42,151,76,227,881,0,53,0,33,530,0.45,478,1411,478,1411,31081.0,0,1369,138,15,Census Tract 1504; Baltimore city; Maryland,56.29965947786606,16.22641509433962,41.24734231041815,33.87668320340184,33.87668320340184,10.080350620891162
