NAME_health,high_school_completion_25plus,bachelor's_degree_or_higher_25plus,unemployment_rate,broadband_internet_subscription,uninsured_population,total_civilian_noninstitutionalized_population,population_with_a_disability,total_population_disability_universe,state,county,tract,median_household_income_health,population_below_poverty,total_population_poverty_universe,owner-occupied_housing_units_health,renter-occupied_housing_units_health,median_home_value_health,median_gross_rent_health,vacant_housing_units,total_housing_units,public_transportation_to_work,total_workers_transportation_universe,total_population,median_age,children_in_married-couple_families,children_in_single-parent_families,total_children,total_population_5plus_language_universe,speak_only_english,foreign-born_population,"white_alone,_not_hispanic",black_or_african_american_alone,hispanic_or_latino,asian_alone,male_under_5_years,female_under_5_years,male_65_years_and_over,female_65_years_and_over,poverty_rate,vacancy_rate,public_transit_rate,uninsured_rate,disability_rate,single_parent_rate,foreign_born_rate,home_ownership_rate,NAME_econ,median_household_income_econ,per_capita_income,population_below_poverty_level,total_population_for_poverty_status,civilian_labor_force,unemployed,employed,bachelor's_degree,master's_degree,professional_degree,doctorate_degree,total_population_25+,median_home_value_econ,median_gross_rent_econ,owner-occupied_housing_units_econ,renter-occupied_housing_units_econ,renters_cost_burden_30_35_pct,renters_cost_burden_35_40_pct,renters_cost_burden_40_50_pct,renters_cost_burden_50plus_pct,total_renter_households_cost,owners_cost_burden_30_35_pct,owners_cost_burden_35_40_pct,owners_cost_burden_40_50_pct,owners_cost_burden_50plus_pct,total_owner_households_cost,gini_index,households_receiving_snap,total_households_snap_universe,households_with_public_assistance,total_households_assistance_universe,median_earnings_workers,not_in_labor_force,total_workers_commute,commute_60_plus_minutes,commute_90_plus_minutes,NAME_additional,renter_cost_burden_rate,owner_cost_burden_rate,housing_cost_burden_rate,snap_participation_rate,public_assistance_rate,long_commute_rate
Census Tract 401; Baltimore city; Maryland,97.7,71.6,3.3,77.6,94.8,5800,725,5800,24,510,40100,67277,869,5901,146,4047,312500,1665,584,4777,513,4363,5901,31.4,67,0,313,5724,67,632,2079,2242,576,758,67,110,0,0,14.73,12.23,11.76,1.63,12.5,0.0,10.71,3.48,Census Tract 401; Baltimore city; Maryland,67277.0,61404.0,869,5901,4452,145,4307,1833,902,660,158,4962,312500,1665,146,4047,627,207,423,832,4047,0,0,25,0,146,0.4437,552,4193,575,4193,58183.0,101,3359,176,1,Census Tract 401; Baltimore city; Maryland,51.61848282678528,17.123287671232877,50.41736227045075,13.164798473646556,13.713331743381826,5.23965465912474
Census Tract 402; Baltimore city; Maryland,99.3,58.9,2.9,69.5,98.0,1281,51,1281,24,510,40200,40625,350,723,14,392,-666666666,1416,67,473,60,549,1281,23.7,17,0,138,1199,79,104,500,484,62,104,65,17,4,0,48.41,14.16,10.93,7.65,3.98,0.0,8.12,3.45,Census Tract 402; Baltimore city; Maryland,40625.0,23372.0,350,723,586,17,569,138,122,45,26,562,-666666666,1416,14,392,27,20,37,108,392,0,0,0,0,14,0.4852,20,406,20,406,15221.0,0,460,15,10,Census Tract 402; Baltimore city; Maryland,48.97959183673469,0.0,47.29064039408867,4.926108374384237,4.926108374384237,3.260869565217391
Census Tract 601; Baltimore city; Maryland,86.7,51.4,2.9,56.3,88.2,2935,232,2935,24,510,60100,63417,584,2935,747,396,253500,1774,254,1397,55,1476,2935,31.8,370,90,510,2716,289,308,935,1068,510,31,134,85,194,130,19.9,18.18,3.73,3.01,7.9,17.65,10.49,65.35,Census Tract 601; Baltimore city; Maryland,63417.0,35006.0,584,2935,1520,44,1476,552,354,119,36,2063,253500,1774,747,396,0,46,42,221,396,8,137,0,128,747,0.4363,115,1143,137,1143,43583.0,0,1314,46,38,Census Tract 601; Baltimore city; Maryland,78.03030303030303,36.54618473895582,50.91863517060368,10.061242344706912,11.986001749781275,3.50076103500761
Census Tract 602; Baltimore city; Maryland,90.5,41.8,9.5,82.0,93.8,2565,376,2565,24,510,60200,68417,652,2575,519,564,230100,1642,272,1355,82,1234,2578,34.4,201,0,408,2488,444,98,936,1006,350,152,39,51,35,24,25.32,20.07,6.65,3.66,14.66,0.0,3.8,47.92,Census Tract 602; Baltimore city; Maryland,68417.0,49467.0,652,2575,1405,134,1271,424,294,78,13,1936,230100,1642,519,564,0,75,58,235,564,55,6,16,36,519,0.58,247,1083,249,1083,46911.0,10,1095,106,0,Census Tract 602; Baltimore city; Maryland,65.24822695035462,21.77263969171484,44.41366574330563,22.807017543859647,22.99168975069252,9.680365296803654
Census Tract 603; Baltimore city; Maryland,96.2,67.2,4.0,80.4,97.0,1480,68,1480,24,510,60300,102946,130,1489,413,306,280700,1516,150,869,59,1010,1493,32.4,189,0,231,1359,60,133,787,281,277,65,117,17,0,9,8.73,17.26,5.84,6.55,4.59,0.0,8.91,57.44,Census Tract 603; Baltimore city; Maryland,102946.0,58722.0,130,1489,1045,42,1003,441,211,74,65,1177,280700,1516,413,306,0,36,10,48,306,20,19,7,8,413,0.4115,62,719,69,719,64188.0,13,752,59,64,Census Tract 603; Baltimore city; Maryland,30.71895424836601,13.075060532687653,20.58414464534075,8.6230876216968,9.596662030598054,7.845744680851063
Census Tract 604; Baltimore city; Maryland,87.8,56.6,10.3,63.2,97.5,1894,294,1894,24,510,60400,44735,490,1849,262,618,226600,1446,88,968,45,844,1894,30.9,160,0,181,1830,136,193,960,590,45,231,0,64,5,4,26.5,9.09,5.33,5.15,15.52,0.0,10.19,29.77,Census Tract 604; Baltimore city; Maryland,44735.0,31721.0,490,1849,968,100,868,331,167,219,85,1416,226600,1446,262,618,58,67,124,70,618,0,37,0,38,262,0.4825,195,880,208,880,41576.0,0,607,18,9,Census Tract 604; Baltimore city; Maryland,51.61812297734628,28.62595419847328,44.77272727272727,22.15909090909091,23.63636363636364,2.9654036243822075
Census Tract 701; Baltimore city; Maryland,84.2,4.9,7.5,67.3,90.2,2555,519,2555,24,510,70100,54506,859,2571,355,358,92100,1358,367,1080,221,761,2571,30.4,164,0,580,2335,489,134,34,2151,224,0,212,24,6,24,33.41,33.98,29.04,3.53,20.31,0.0,5.21,49.79,Census Tract 701; Baltimore city; Maryland,54506.0,20495.0,859,2571,805,60,745,34,33,0,2,1414,92100,1358,355,358,29,23,21,116,358,5,13,29,46,355,0.4372,310,713,315,713,30848.0,16,701,49,50,Census Tract 701; Baltimore city; Maryland,52.79329608938548,26.197183098591548,39.55119214586255,43.47826086956522,44.17952314165498,6.990014265335236
Census Tract 702; Baltimore city; Maryland,69.3,12.9,9.4,69.8,95.6,3229,691,3229,24,510,70200,36818,1271,3229,431,561,82400,1389,411,1403,311,1067,3229,28.5,275,283,1062,3061,820,365,128,2295,312,17,135,33,4,17,39.36,29.29,29.15,2.96,21.4,26.65,11.3,43.45,Census Tract 702; Baltimore city; Maryland,36818.0,18726.0,1271,3229,1178,111,1067,136,62,11,15,1743,82400,1389,431,561,19,34,13,188,561,16,50,23,21,431,0.4942,246,992,246,992,34009.0,0,942,124,117,Census Tract 702; Baltimore city; Maryland,45.27629233511586,25.52204176334107,36.693548387096776,24.798387096774192,24.798387096774192,13.163481953290871
Census Tract 703; Baltimore city; Maryland,90.2,26.2,9.7,79.2,90.0,1120,201,1120,24,510,70300,48083,237,1120,123,248,194300,1153,113,484,57,496,1120,30.5,0,7,127,1023,105,14,72,874,13,1,39,58,0,0,21.16,23.35,11.49,8.04,17.95,5.51,1.25,33.15,Census Tract 703; Baltimore city; Maryland,48083.0,28449.0,237,1120,556,54,502,136,48,19,13,824,194300,1153,123,248,30,7,8,67,248,0,0,0,0,123,0.5116,141,371,141,371,46037.0,0,399,64,17,Census Tract 703; Baltimore city; Maryland,45.16129032258064,0.0,30.18867924528302,38.00539083557952,38.00539083557952,16.040100250626566
Census Tract 704; Baltimore city; Maryland,82.6,36.3,16.3,41.4,98.1,1589,183,1589,24,510,70400,25000,435,1581,33,731,177100,1193,60,824,132,531,1589,32.1,108,0,279,1518,226,176,108,1138,84,219,28,43,0,54,27.51,7.28,24.86,6.17,11.52,0.0,11.08,4.32,Census Tract 704; Baltimore city; Maryland,25000.0,18735.0,435,1581,693,113,580,229,61,33,87,1130,177100,1193,33,731,107,62,19,193,731,0,18,0,0,33,0.5574,281,764,281,764,35404.0,0,515,45,0,Census Tract 704; Baltimore city; Maryland,52.1203830369357,54.54545454545454,52.22513089005235,36.78010471204188,36.78010471204188,8.737864077669903
