NAME,median_household_income,per_capita_income,population_below_poverty_level,total_population_for_poverty_status,civilian_labor_force,unemployed,employed,bachelor's_degree,master's_degree,professional_degree,doctorate_degree,total_population_25+,median_home_value,median_gross_rent,owner-occupied_housing_units,renter-occupied_housing_units,state,county,tract
Census Tract 1201; Baltimore city; Maryland,94236,93432.0,423,4312,2972,129,2843,825,1102,507,544,3572,466700,1405,1200,1242,24,510,120100
Census Tract 1202.01; Baltimore city; Maryland,102083,61883.0,237,1951,1227,32,1195,420,326,124,208,1294,335000,1679,451,424,24,510,120201
Census Tract 1202.02; Baltimore city; Maryland,28352,17617.0,909,2378,2247,275,1972,615,576,110,184,1727,278600,1215,365,1227,24,510,120202
Census Tract 1203; Baltimore city; Maryland,70776,38047.0,844,3954,2356,128,2228,779,535,87,187,2891,273400,1151,696,846,24,510,120300
Census Tract 1204; Baltimore city; Maryland,51700,37937.0,405,1590,925,59,866,251,178,85,28,1189,327200,1099,285,479,24,510,120400
Census Tract 1205; Baltimore city; Maryland,56776,47762.0,384,2216,1561,66,1495,451,353,140,70,1819,334400,1354,465,765,24,510,120500
Census Tract 1206; Baltimore city; Maryland,30887,29606.0,704,2593,1559,178,1381,687,364,4,81,2314,299400,947,243,1357,24,510,120600
Census Tract 1207; Baltimore city; Maryland,68929,43922.0,266,1966,1356,111,1245,513,391,58,20,1635,228900,1580,492,514,24,510,120700
Census Tract 1301; Baltimore city; Maryland,30048,29397.0,868,3040,1561,103,1458,297,232,23,22,2350,358900,1073,271,1461,24,510,130100
Census Tract 1302; Baltimore city; Maryland,66795,48916.0,183,2390,1516,126,1390,311,294,10,80,1907,339800,1130,534,667,24,510,130200
Census Tract 1303; Baltimore city; Maryland,49063,28234.0,360,1844,927,16,911,136,71,19,10,1255,148100,1270,292,563,24,510,130300
Census Tract 1304; Baltimore city; Maryland,45192,22522.0,530,2088,789,54,735,112,57,0,8,1380,112700,1115,256,462,24,510,130400
Census Tract 1306; Baltimore city; Maryland,101333,60539.0,234,3748,2760,35,2725,1177,650,349,160,3234,279800,2071,1104,738,24,510,130600
Census Tract 1307; Baltimore city; Maryland,83789,56543.0,500,4614,2863,124,2739,1008,1044,323,412,4129,300300,1487,1270,1365,24,510,130700
Census Tract 1308.03; Baltimore city; Maryland,76841,46136.0,156,2352,1631,12,1619,508,184,77,91,1850,230800,1350,689,602,24,510,130803
Census Tract 1308.04; Baltimore city; Maryland,70026,55290.0,172,1530,1114,38,1076,352,304,78,92,1371,251700,1606,479,412,24,510,130804
Census Tract 1308.05; Baltimore city; Maryland,61983,47459.0,156,1099,553,77,476,153,159,40,25,963,171400,725,356,238,24,510,130805
